401,-4.375
402,-1.875
403,-3.125
404,-4.25
405,-3.75
406,-3.5
407,-4.5
408,-3.875
409,-1.75
410,-2.25
411,-2.0
412,-2.25
413,-2.75
414,-2.75
415,-2.375
416,-3.125
417,-3.0
418,-5.75
419,-5.625
420,-3.375
421,-3.375
422,-2.0
423,-2.25
424,-2.375
425,-3.875
426,-3.375
427,-3.75
428,-1.875
429,-0.625
430,-2.625
431,-2.5
432,-2.5
433,-2.0
434,-0.75
435,-1.625
436,-4.125
437,-3.25
438,-2.875
439,-3.0
440,-1.125
441,-1.25
442,-2.0
443,-2.125
444,-1.75
445,-2.5
446,-2.875
447,-2.25
448,-0.75
449,-1.25
